T: 2018-09-10T19:00:00Z | O: 0.0014921 | H: 0.0014993 | L: 0.0014867 | C: 0.0014946 | V: 15914.94 | MOM: -1.2700000000000038E-5
T: 2018-09-10T20:00:00Z | O: 0.0014957 | H: 0.001508 | L: 0.001493 | C: 0.001506 | V: 11975.23 | MOM: -1.2700000000000038E-5
T: 2018-09-10T21:00:00Z | O: 0.001505 | H: 0.0015087 | L: 0.0014908 | C: 0.0015063 | V: 28315.76 | MOM: -2.160000000000009E-5
T: 2018-09-10T22:00:00Z | O: 0.0015063 | H: 0.001509 | L: 0.001491 | C: 0.0014918 | V: 9159.59 | MOM: -2.9399999999999956E-5
T: 2018-09-10T23:00:00Z | O: 0.0014933 | H: 0.001503 | L: 0.00149 | C: 0.001502 | V: 4644.61 | MOM: -1.81999999999999E-5
T: 2018-09-11T00:00:00Z | O: 0.0015011 | H: 0.0015139 | L: 0.0014983 | C: 0.0015139 | V: 13964.48 | MOM: -1.4999999999999823E-6
T: 2018-09-11T01:00:00Z | O: 0.0015092 | H: 0.0015116 | L: 0.0015025 | C: 0.0015092 | V: 9086.86 | MOM: -4.499999999999947E-6
T: 2018-09-11T02:00:00Z | O: 0.0015092 | H: 0.0015092 | L: 0.001498 | C: 0.0015017 | V: 4693.25 | MOM: -1.1700000000000122E-5
T: 2018-09-11T03:00:00Z | O: 0.0015011 | H: 0.0015019 | L: 0.0014855 | C: 0.0014945 | V: 30150.58 | MOM: -1.7400000000000098E-5
T: 2018-09-11T04:00:00Z | O: 0.0014945 | H: 0.0014947 | L: 0.0014865 | C: 0.0014884 | V: 10943.24 | MOM: -2.3100000000000074E-5
T: 2018-09-11T05:00:00Z | O: 0.0014884 | H: 0.0015146 | L: 0.0014866 | C: 0.001498 | V: 37506.89 | MOM: -9.600000000000017E-6
T: 2018-09-11T06:00:00Z | O: 0.0014947 | H: 0.0015061 | L: 0.0014895 | C: 0.0014989 | V: 21023.11 | MOM: -4.600000000000003E-6
